Edad,Sexo,Trabajo,Vivienda,Ahorro,Corriente,Credito,Larga duracion
67,male,2,own,little,little,1169,0
22,female,2,own,little,moderate,5951,1
49,male,1,own,little,little,2096,0
45,male,2,free,little,little,7882,1
53,male,2,free,little,little,4870,1
35,male,1,free,quite rich,moderate,9055,1
53,male,2,own,quite rich,moderate,2835,1
35,male,3,rent,little,moderate,6948,1
61,male,1,own,rich,moderate,3059,0
28,male,3,own,little,moderate,5234,1
25,female,2,rent,little,moderate,1295,0
24,female,2,rent,little,little,4308,1
22,female,2,own,little,moderate,1567,0
60,male,1,own,little,little,1199,1
28,female,2,rent,little,little,1403,0
32,female,1,own,moderate,little,1282,1
53,male,2,own,little,little,2424,1
25,male,2,own,little,little,8072,1
44,female,3,free,little,moderate,12579,1
31,male,2,own,quite rich,little,3430,1
48,male,2,own,little,little,2134,0
44,male,2,rent,quite rich,little,2647,0
48,male,1,rent,little,little,2241,0
44,male,2,own,moderate,moderate,1804,0
26,male,2,own,little,little,2069,0
36,male,1,own,little,little,1374,0
39,male,1,own,little,rich,426,0
42,female,2,rent,rich,rich,409,0
34,male,2,own,little,moderate,2415,0
63,male,2,own,little,little,6836,1
36,male,2,own,rich,moderate,1913,0
27,male,2,own,little,little,4020,1
30,male,2,own,moderate,moderate,5866,0
57,male,1,rent,little,rich,1264,0
33,female,3,own,little,rich,1474,0
25,male,1,own,little,moderate,4746,1
31,male,2,free,little,rich,6110,1
37,male,2,own,little,rich,2100,0
37,male,2,own,little,rich,1225,0
24,male,2,own,little,moderate,458,0
30,male,3,own,quite rich,moderate,2333,1
26,male,2,own,quite rich,moderate,1158,0
44,male,1,own,little,moderate,6204,0
24,male,2,rent,moderate,little,6187,1
58,female,1,free,little,little,6143,1
35,female,3,own,little,little,1393,0
39,male,2,own,quite rich,little,2299,1
23,female,0,rent,quite rich,little,1352,0
39,male,1,own,little,moderate,7228,0
28,female,2,own,moderate,moderate,2073,0
29,male,1,own,little,moderate,2333,1
30,male,3,own,little,moderate,5965,1
25,male,2,own,little,moderate,1262,0
31,male,2,own,little,moderate,3378,0
57,male,2,free,little,moderate,2225,1
26,male,1,own,little,moderate,783,0
52,male,3,own,little,moderate,6468,0
31,female,2,own,little,rich,9566,1
23,female,3,own,little,rich,1961,0
23,female,1,rent,little,little,6229,1
27,male,2,own,little,moderate,1391,0
50,male,2,own,little,moderate,1537,0
61,male,3,free,little,moderate,1953,1
25,male,2,own,little,moderate,14421,1
26,female,2,own,little,moderate,3181,1
48,male,2,own,little,moderate,5190,1
29,female,2,own,little,moderate,2171,0
22,male,2,own,rich,moderate,1007,0
37,male,2,free,little,little,1819,1
25,female,2,own,little,little,2394,1
30,female,2,own,little,little,8133,1
46,male,1,rent,little,little,730,0
51,male,3,free,little,little,1164,0
41,female,1,own,little,moderate,5954,1
40,male,3,own,little,little,1977,1
66,male,3,free,little,little,1526,0
34,male,2,own,little,little,3965,1
51,male,2,own,little,moderate,4771,0
39,male,1,own,little,moderate,9436,1
22,male,2,own,little,moderate,3832,1
44,female,2,own,quite rich,little,5943,1
47,male,2,own,quite rich,little,1213,0
24,female,1,rent,moderate,little,1568,0
58,female,1,own,little,little,1755,1
52,male,1,own,little,little,2315,0
29,female,3,own,little,moderate,1412,0
27,female,2,own,little,moderate,1295,0
47,male,2,free,moderate,moderate,12612,1
30,male,3,own,moderate,little,2249,0
28,male,2,own,little,little,1108,0
56,male,2,own,little,little,618,0
54,male,2,own,little,little,1409,0
33,female,1,own,rich,rich,797,0
20,male,2,rent,rich,rich,3617,1
54,male,2,own,rich,moderate,1318,0
58,male,2,rent,little,moderate,15945,1
61,female,2,own,moderate,moderate,2012,0
34,male,2,own,moderate,moderate,2622,0
36,male,2,own,little,moderate,2337,1
36,male,3,rent,moderate,moderate,7057,0
41,male,1,rent,moderate,moderate,1469,1
24,male,2,rent,little,moderate,2323,1
24,female,2,own,little,moderate,932,0
35,male,2,rent,little,moderate,1919,0
26,male,2,rent,little,moderate,2445,0
39,male,3,own,little,moderate,11938,1
39,male,3,own,little,moderate,6458,0
32,male,2,own,little,moderate,6078,0
30,female,2,own,quite rich,little,7721,1
35,male,2,own,quite rich,moderate,1410,0
31,male,2,own,moderate,moderate,1449,0
23,female,2,rent,little,rich,392,0
28,male,1,rent,little,moderate,6260,0
25,female,2,own,little,little,7855,1
35,male,2,own,quite rich,little,1680,0
47,male,2,own,quite rich,little,3578,1
30,female,3,own,quite rich,little,7174,1
27,female,2,rent,quite rich,little,2132,0
23,female,2,own,quite rich,little,4281,1
36,male,3,own,quite rich,moderate,2366,0
25,female,2,own,little,little,1835,1
41,female,3,rent,little,rich,3868,1
24,male,1,rent,little,rich,1768,0
63,male,2,free,little,rich,781,0
27,female,2,rent,little,moderate,1924,0
30,male,2,own,little,little,2121,0
40,male,1,own,little,little,701,0
30,male,2,own,little,moderate,639,0
34,male,3,own,little,moderate,1860,0
29,female,2,own,little,little,3499,0
24,female,2,own,little,moderate,8487,1
29,male,2,own,little,little,6887,1
27,male,1,own,little,moderate,2708,0
47,male,2,free,little,moderate,1984,0
21,female,2,own,moderate,moderate,10144,1
38,female,2,own,rich,moderate,1240,0
27,male,2,own,rich,moderate,8613,1
66,male,1,own,quite rich,moderate,766,0
35,male,2,own,little,moderate,2728,0
44,female,1,rent,little,rich,1881,0
27,male,0,own,rich,rich,709,0
30,female,3,own,little,moderate,4795,1
27,male,3,own,little,little,3416,1
22,male,2,own,little,little,2462,0
23,female,2,own,little,moderate,2288,1
30,male,2,own,moderate,moderate,3566,1
39,female,2,own,little,little,860,0
51,female,2,own,moderate,little,682,0
28,male,2,own,little,little,5371,1
46,male,2,own,rich,rich,1582,0
42,male,2,free,moderate,rich,1346,0
38,male,2,own,little,rich,1924,0
24,male,2,own,little,rich,5848,1
29,female,2,rent,rich,moderate,7758,1
36,male,3,rent,moderate,moderate,6967,1
20,female,2,rent,little,little,1282,0
48,male,2,own,moderate,little,1288,0
45,male,1,own,little,little,339,0
38,male,2,own,moderate,moderate,3512,1
34,male,1,own,moderate,moderate,1898,0
36,male,2,own,moderate,moderate,2872,1
30,female,2,own,little,moderate,1055,0
36,male,2,own,quite rich,moderate,1262,0
70,male,3,free,little,moderate,7308,0
36,male,2,own,quite rich,little,909,1
32,male,2,own,quite rich,little,2978,0
33,female,2,own,little,little,1131,0
20,female,2,own,rich,moderate,1577,0
25,female,2,rent,little,moderate,3972,1
31,male,2,own,little,moderate,1935,1
33,male,2,rent,little,little,950,0
26,female,2,own,little,moderate,763,0
34,female,3,own,little,moderate,2064,1
33,male,2,own,little,moderate,1414,0
26,male,2,own,little,little,3414,1
53,female,3,own,little,little,7485,1
42,male,2,own,little,little,2577,0
52,male,2,own,quite rich,little,338,0
31,male,3,rent,little,little,1963,0
65,male,2,own,little,little,571,1
28,male,2,own,little,moderate,9572,1
30,male,3,own,little,moderate,4455,1
40,male,1,own,rich,little,1647,1
50,male,2,own,rich,moderate,3777,1
36,male,2,own,little,moderate,884,0
31,male,2,own,little,moderate,1360,0
74,female,3,free,little,moderate,5129,0
68,male,0,free,little,moderate,1175,0
20,male,2,own,moderate,little,674,0
33,female,2,own,little,moderate,3244,0
54,male,3,own,rich,moderate,4591,1
34,male,1,free,moderate,moderate,3844,1
36,male,2,own,little,moderate,3915,1
29,male,2,rent,little,moderate,2108,0
21,male,2,rent,moderate,moderate,3031,1
34,female,3,own,little,moderate,1501,0
28,female,2,own,little,moderate,1382,0
27,female,2,rent,moderate,moderate,951,0
36,male,2,free,little,moderate,2760,1
40,male,3,own,little,moderate,4297,0
52,male,2,own,quite rich,little,936,0
27,male,1,own,little,little,1168,0
26,male,2,own,little,little,5117,1
21,male,2,rent,little,little,902,0
38,male,1,own,little,little,1495,0
38,male,3,free,little,little,10623,1
43,male,2,own,little,moderate,1935,0
26,male,2,own,little,moderate,1424,0
21,male,1,own,little,little,6568,1
55,male,2,own,rich,little,1413,0
33,male,2,own,little,little,3074,0
45,female,1,own,little,little,3835,1
50,male,2,own,little,little,5293,1
66,male,3,own,little,rich,1908,1
51,male,2,own,little,moderate,3342,1
39,female,1,own,little,moderate,932,0
31,male,2,own,little,little,3104,0
23,male,2,own,little,rich,3913,1
24,male,1,rent,little,little,3021,1
64,female,2,own,little,moderate,1364,0
26,male,1,own,little,moderate,625,0
23,female,2,rent,little,little,1200,0
30,male,2,own,little,moderate,707,0
32,male,2,own,little,moderate,2978,1
30,male,2,own,little,moderate,4657,0
27,male,2,own,little,moderate,2613,1
27,male,2,own,rich,moderate,10961,1
53,male,3,free,little,little,7865,0
22,male,2,own,little,little,1478,0
22,male,2,free,little,little,3149,1
26,male,2,own,little,rich,4210,1
51,male,1,free,quite rich,moderate,2507,0
35,male,2,own,moderate,moderate,2141,0
25,male,1,own,little,moderate,866,0
42,male,1,own,little,little,1544,0
30,male,3,own,little,little,1823,1
23,male,0,own,moderate,moderate,14555,0
61,male,1,rent,moderate,moderate,2767,1
35,female,2,own,little,little,1291,0
39,male,2,own,little,little,2522,1
29,female,2,own,little,little,915,1
51,male,2,own,little,little,1595,0
24,male,2,free,little,little,4605,1
27,female,2,own,little,rich,1185,0
35,female,1,own,quite rich,rich,3447,0
25,male,2,own,little,rich,1258,1
52,male,2,own,little,rich,717,0
35,male,2,rent,moderate,rich,1204,0
26,male,2,own,little,rich,1925,1
22,female,2,rent,little,little,433,0
39,female,1,own,rich,little,666,0
46,female,1,own,little,rich,2251,0
24,female,2,own,little,moderate,2150,1
35,male,2,own,moderate,moderate,4151,1
24,male,2,own,little,moderate,2030,0
27,male,1,own,little,moderate,7418,1
35,male,1,own,little,little,2684,1
29,male,2,free,little,little,2149,0
23,female,2,own,moderate,little,3812,0
57,female,1,own,moderate,little,1154,0
27,male,2,own,little,little,1657,0
55,female,2,own,little,little,1603,1
36,male,3,free,little,little,5302,0
57,female,1,free,little,moderate,2748,0
32,male,1,own,little,moderate,1231,0
37,male,2,own,little,moderate,802,0
36,male,2,own,little,little,6304,1
38,female,2,own,little,little,1533,1
45,male,3,own,little,little,8978,0
25,male,2,own,quite rich,moderate,999,1
32,male,2,own,quite rich,moderate,2662,0
37,female,2,rent,quite rich,moderate,1402,0
36,male,3,free,little,moderate,12169,1
28,male,2,own,little,moderate,3060,1
34,male,1,own,little,little,11998,1
32,male,2,own,little,little,2697,0
26,female,2,own,little,little,2404,0
49,male,1,own,little,little,1262,0
32,female,2,own,little,rich,4611,0
29,male,3,rent,moderate,rich,1901,1
23,male,2,rent,rich,rich,3368,0
50,male,2,own,little,rich,1574,0
49,male,1,own,moderate,rich,1445,0
63,male,2,own,moderate,moderate,1520,0
37,male,2,own,moderate,moderate,3878,1
35,female,1,own,little,little,10722,1
26,male,2,own,little,little,4788,1
31,male,3,free,moderate,moderate,7582,1
49,female,2,own,little,moderate,1092,0
48,male,2,own,little,little,1024,1
26,male,2,own,little,moderate,1076,0
28,male,3,rent,little,moderate,9398,1
44,female,3,free,little,little,6419,1
56,male,2,free,little,rich,4796,1
46,male,3,own,little,moderate,7629,1
26,female,2,own,little,moderate,9960,1
20,female,2,rent,little,moderate,4675,0
45,male,1,own,little,moderate,1287,0
43,male,2,own,little,moderate,2515,0
32,male,2,own,rich,moderate,2745,1
54,female,0,own,little,moderate,672,0
42,female,2,own,little,moderate,3804,1
37,male,1,own,little,rich,1344,1
49,male,2,own,little,little,1038,0
44,male,2,free,quite rich,little,10127,1
33,male,2,own,rich,little,1543,0
24,female,1,rent,moderate,little,4811,1
33,male,1,own,moderate,little,727,0
24,female,2,own,little,moderate,1237,0
22,male,1,rent,little,moderate,276,0
40,male,0,free,moderate,moderate,5381,1
25,male,2,own,moderate,rich,5511,1
26,female,2,own,little,rich,3749,1
25,male,1,own,little,moderate,685,0
29,male,1,own,little,rich,1494,0
31,male,2,own,little,little,2746,1
38,male,1,own,little,little,708,0
48,female,1,own,little,moderate,4351,1
32,male,2,own,little,little,701,0
27,female,1,own,little,little,3643,0
28,male,3,own,little,moderate,4249,1
32,male,2,own,little,little,1938,1
34,male,3,free,little,little,2910,1
28,male,2,own,rich,little,2659,0
36,female,2,own,little,little,1028,0
39,male,1,own,little,little,3398,0
49,male,2,rent,rich,rich,5801,0
34,female,2,own,rich,rich,1525,1
31,male,2,own,little,rich,4473,1
28,male,2,own,little,moderate,1068,0
75,male,3,free,little,little,6615,1
30,female,2,own,moderate,moderate,1864,0
24,female,3,own,moderate,moderate,7408,1
24,female,1,rent,moderate,little,11590,1
23,male,2,rent,little,little,4110,1
44,male,3,rent,little,little,3384,0
23,female,1,own,little,moderate,2101,0
24,female,2,rent,little,little,1275,0
28,male,2,own,little,little,4169,1
31,male,1,own,little,moderate,1521,0
24,female,2,free,little,moderate,5743,1
26,female,1,rent,little,little,3599,1
25,male,2,rent,quite rich,moderate,3213,0
33,male,3,own,little,moderate,4439,0
37,male,1,own,little,rich,3949,0
43,female,1,own,little,moderate,1459,0
23,male,2,own,little,moderate,882,0
23,female,0,rent,quite rich,moderate,3758,1
34,male,1,own,moderate,moderate,1743,0
32,male,2,free,rich,moderate,1136,0
23,female,2,rent,little,moderate,1236,0
29,female,2,own,little,moderate,959,0
38,male,3,own,little,little,3229,0
28,male,2,rent,little,little,6199,0
46,male,2,free,quite rich,moderate,727,0
23,male,1,own,little,moderate,1246,1
49,male,2,own,little,little,2331,0
26,male,3,own,little,little,4463,1
28,male,2,own,little,little,776,0
23,female,2,rent,little,little,2406,1
61,male,2,free,little,moderate,1239,0
37,male,3,own,little,rich,3399,0
36,female,2,own,little,rich,2247,0
21,male,2,rent,little,little,1766,0
25,male,0,own,little,little,2473,0
36,male,2,own,little,little,1542,0
27,male,2,own,little,little,3850,0
22,female,2,rent,little,little,3650,0
42,male,2,own,little,little,3446,1
40,female,2,rent,little,moderate,3001,0
36,male,2,own,little,moderate,3079,1
33,male,2,own,little,moderate,6070,0
23,female,2,rent,little,moderate,2146,0
63,male,3,free,moderate,moderate,13756,1
60,female,3,free,moderate,moderate,14782,1
37,female,2,rent,little,little,7685,1
34,male,2,own,little,moderate,2320,0
36,male,2,free,little,moderate,846,0
57,male,3,free,little,moderate,14318,1
52,female,1,own,moderate,little,362,0
39,male,2,own,little,little,2212,0
38,female,3,free,little,moderate,12976,0
25,female,2,rent,little,rich,1283,1
26,male,2,own,little,rich,1330,0
26,male,1,own,moderate,moderate,4272,1
25,female,2,own,little,moderate,2238,0
21,female,2,rent,little,moderate,1126,0
40,male,3,own,little,moderate,7374,0
27,male,2,own,quite rich,moderate,2326,0
27,female,2,own,little,moderate,1449,0
30,male,3,own,little,moderate,1820,0
19,female,1,rent,rich,moderate,983,0
39,male,3,free,little,little,3249,1
31,female,2,own,little,little,1957,0
31,male,3,own,little,moderate,2406,0
32,male,2,rent,moderate,moderate,11760,1
55,female,3,free,little,little,2578,0
46,male,2,own,little,little,2348,1
46,male,2,rent,little,moderate,1223,0
43,female,1,own,rich,moderate,1516,1
39,male,2,own,little,moderate,1473,0
28,male,2,own,little,moderate,1887,0
27,male,2,own,little,moderate,8648,1
27,male,1,own,little,moderate,802,0
43,male,2,own,little,moderate,2899,0
22,male,2,own,little,moderate,2039,1
43,male,2,own,little,little,2197,1
27,male,2,own,little,little,1053,0
26,male,3,own,quite rich,rich,3235,1
28,male,2,own,quite rich,rich,939,0
20,female,2,own,little,moderate,1967,1
35,male,3,own,little,little,7253,1
42,male,3,own,little,little,2292,0
40,male,1,rent,quite rich,little,1597,0
35,female,2,own,little,little,1381,1
35,male,2,own,little,little,5842,1
33,male,1,own,little,little,2579,0
23,female,2,rent,quite rich,little,8471,0
31,female,3,own,quite rich,moderate,2782,1
33,female,2,own,rich,moderate,1042,0
20,female,2,rent,rich,moderate,3186,0
30,male,2,own,little,moderate,2028,0
47,male,1,own,little,moderate,958,0
34,male,3,own,moderate,moderate,1591,1
25,female,2,own,little,moderate,2762,0
21,male,2,rent,little,moderate,2779,0
29,male,2,own,little,little,2743,1
46,male,2,own,rich,little,1149,0
20,male,2,own,little,little,1313,0
55,female,0,free,little,little,1190,0
74,male,1,own,little,moderate,3448,0
29,male,3,own,little,moderate,11328,1
36,male,3,free,little,little,1872,0
33,male,2,own,little,little,2058,1
25,male,2,own,little,little,2136,0
25,male,2,own,quite rich,moderate,1484,0
23,male,1,rent,quite rich,little,660,0
37,female,2,own,rich,little,1287,1
65,male,0,own,little,little,3394,1
26,female,0,own,little,rich,609,0
39,male,3,own,little,little,1884,0
30,female,2,own,little,little,1620,0
29,male,2,own,little,moderate,2629,0
41,male,1,own,little,moderate,719,0
30,female,3,own,little,moderate,5096,1
41,female,1,rent,little,little,1244,0
34,female,2,own,little,little,1842,1
35,male,2,own,little,moderate,2576,0
55,female,3,own,rich,rich,1424,0
61,male,2,own,rich,moderate,1512,0
30,male,3,own,little,little,11054,1
29,female,2,own,little,little,518,0
34,male,2,own,little,little,2759,0
35,male,3,own,little,little,2670,1
31,male,2,own,little,little,4817,1
29,female,3,own,little,little,2679,1
36,male,2,rent,little,little,3905,0
35,male,2,free,little,little,3386,0
27,female,2,own,little,little,343,0
32,male,2,own,little,little,4594,0
37,male,2,own,little,little,3620,1
36,male,2,own,little,little,1721,0
34,female,3,rent,little,moderate,3017,0
38,male,2,own,little,moderate,754,0
34,male,2,own,little,little,1950,0
63,male,2,own,little,little,2924,1
29,female,1,rent,little,little,1659,1
32,male,2,own,little,moderate,7238,1
26,female,2,own,little,moderate,2764,1
35,male,1,own,little,moderate,4679,1
22,male,2,rent,moderate,moderate,3092,1
23,female,2,own,little,little,448,0
28,male,1,own,little,little,654,0
36,male,3,own,little,moderate,1238,0
33,male,2,own,little,moderate,1245,0
26,female,2,rent,little,little,3114,0
24,male,2,own,quite rich,rich,2569,1
25,male,2,own,little,rich,5152,1
39,male,1,own,moderate,moderate,1037,0
44,male,2,own,little,little,1478,0
23,female,1,own,little,moderate,3573,0
26,male,2,own,little,moderate,1201,1
57,female,2,rent,rich,little,3622,1
30,female,2,own,rich,moderate,960,0
44,male,2,own,quite rich,moderate,1163,0
47,male,3,own,little,moderate,1209,0
52,male,2,own,little,moderate,3077,0
62,female,2,free,little,moderate,3757,1
35,male,1,rent,moderate,moderate,1418,0
26,male,2,rent,little,moderate,3518,0
26,male,2,own,little,moderate,1934,0
42,female,3,free,little,moderate,8318,1
27,female,2,own,moderate,moderate,1237,0
38,male,2,own,little,moderate,368,0
39,male,1,rent,little,little,2122,0
20,male,2,own,moderate,little,2996,1
29,male,3,rent,moderate,moderate,9034,1
40,male,2,own,little,moderate,1585,1
