Edad,Sexo,Trabajo,Vivienda,Ahorro,Corriente,Credito,Larga duracion
32,male,1,own,little,moderate,1301,0
28,male,2,own,moderate,rich,1323,0
27,female,2,own,little,little,3123,1
42,male,2,free,little,little,5493,1
49,male,2,own,moderate,rich,1126,0
38,male,2,own,moderate,moderate,1216,1
24,female,2,rent,little,little,1207,1
27,male,1,own,quite rich,rich,1309,0
36,male,2,own,quite rich,rich,2360,0
34,male,3,own,moderate,moderate,6850,0
28,male,2,own,little,little,1413,1
45,male,3,own,moderate,little,8588,1
26,male,2,own,little,little,759,0
32,male,3,free,little,rich,4686,1
26,male,2,rent,little,rich,2687,0
20,male,2,rent,little,moderate,585,0
54,male,2,own,little,little,2255,1
37,female,2,own,little,little,609,0
40,male,1,own,little,little,1361,0
23,female,2,rent,little,little,7127,1
43,male,2,own,moderate,little,1203,0
36,male,2,free,little,little,700,0
44,male,2,free,little,little,5507,1
24,female,2,own,little,little,3190,0
53,male,2,free,little,little,7119,1
23,female,2,own,moderate,moderate,3488,1
26,female,1,own,little,moderate,1113,0
30,male,2,own,little,moderate,7966,1
31,female,2,own,moderate,little,1532,0
42,male,1,own,little,little,1503,0
31,male,2,rent,little,little,2302,1
41,male,1,own,little,little,662,0
32,male,2,own,little,moderate,2273,1
28,female,2,rent,moderate,moderate,2631,0
41,male,2,rent,little,rich,1503,0
26,male,2,own,moderate,rich,1311,1
25,male,2,own,little,rich,3105,1
33,male,2,rent,little,rich,2319,1
75,female,3,own,little,little,1374,0
37,female,2,own,little,moderate,3612,0
42,male,3,free,little,little,7763,1
45,female,1,own,little,rich,3049,0
23,male,2,rent,little,moderate,1534,0
60,male,2,free,little,little,2032,1
31,male,2,own,little,little,6350,1
34,male,1,own,little,rich,2864,0
61,male,1,own,little,little,1255,0
43,male,2,free,little,little,1333,1
37,female,2,own,little,little,2022,1
32,male,2,own,little,little,1552,1
24,female,1,own,little,little,626,0
35,male,2,free,quite rich,little,8858,1
23,female,2,own,quite rich,little,996,0
45,male,1,own,quite rich,little,1750,0
34,male,2,own,little,little,6999,1
27,male,2,own,moderate,moderate,1995,0
67,female,3,own,little,moderate,1199,0
22,male,2,own,little,moderate,1331,0
28,female,2,own,moderate,moderate,2278,0
29,female,2,own,little,little,5003,1
27,male,2,own,little,little,3552,1
31,male,1,own,little,moderate,1928,0
49,male,2,free,little,little,2964,1
24,male,1,rent,little,little,1546,1
29,female,2,own,little,rich,683,0
37,male,2,free,moderate,moderate,12389,1
37,male,3,own,moderate,moderate,4712,1
23,female,2,rent,moderate,moderate,1553,1
36,male,2,own,little,little,1372,0
34,male,2,own,rich,moderate,2578,1
41,male,2,own,little,moderate,3979,1
31,female,2,own,little,little,6758,1
23,female,1,rent,little,little,3234,1
38,male,2,own,little,little,5954,1
26,female,3,rent,little,little,5433,1
22,female,1,own,little,little,806,0
27,male,1,own,little,moderate,1082,0
24,female,2,own,little,moderate,2788,0
27,female,2,own,little,moderate,2930,0
33,female,2,own,little,moderate,1927,1
27,male,2,own,little,moderate,2820,1
27,male,1,own,little,moderate,937,1
30,male,2,own,little,moderate,1056,0
49,male,1,own,little,moderate,3124,0
26,female,2,rent,little,moderate,1388,0
33,male,1,rent,little,moderate,2384,1
52,female,3,free,little,little,2133,0
20,female,2,rent,little,little,2039,0
36,male,2,rent,little,little,2799,0
21,male,1,own,little,little,1289,0
47,male,1,own,little,little,1217,0
60,male,2,own,little,little,2246,0
58,female,1,own,little,little,385,0
42,female,2,rent,rich,moderate,1965,1
36,female,1,own,rich,moderate,1572,1
20,female,1,rent,little,moderate,2718,1
40,male,3,own,moderate,little,1358,1
32,female,1,own,moderate,moderate,931,0
23,female,2,rent,little,little,1442,1
36,male,1,own,little,moderate,4241,1
31,male,2,own,little,moderate,2775,0
32,male,2,free,little,moderate,3863,1
45,female,2,own,little,moderate,2329,0
30,female,2,own,little,moderate,918,0
34,female,1,free,little,moderate,1837,1
28,female,3,own,little,rich,3349,1
23,female,2,own,little,rich,1275,0
22,male,2,own,quite rich,little,2828,1
74,male,3,own,little,moderate,4526,1
50,female,2,free,moderate,moderate,2671,1
33,male,2,own,little,little,2051,0
45,male,2,free,moderate,little,1300,0
22,female,2,own,moderate,little,741,0
48,female,1,free,moderate,rich,1240,0
29,female,2,own,rich,little,3357,1
22,female,2,rent,little,little,3632,1
22,female,2,own,little,moderate,1808,0
48,male,3,own,little,moderate,12204,1
27,male,3,free,little,moderate,9157,1
37,male,2,rent,little,little,3676,0
21,female,2,rent,moderate,moderate,3441,1
49,male,1,own,little,moderate,640,0
27,male,2,own,little,moderate,3652,1
32,male,2,own,little,little,1530,0
38,male,2,own,little,little,3914,1
22,female,2,rent,little,little,1858,0
65,male,2,free,little,little,2600,0
35,male,2,own,little,rich,1979,0
41,male,2,own,little,rich,2116,0
29,male,2,own,moderate,moderate,1437,0
36,male,2,own,quite rich,little,4042,1
64,male,1,own,little,little,3832,0
28,female,2,own,little,little,3660,1
44,male,2,own,little,little,1553,0
23,male,2,own,little,moderate,1444,0
19,female,2,rent,little,moderate,1980,0
25,female,1,own,little,moderate,1355,1
47,male,2,own,little,little,1393,0
28,female,2,own,quite rich,little,1376,1
21,male,2,own,little,little,15653,1
34,female,2,own,little,little,1493,0
26,male,2,own,little,little,4370,1
27,female,0,own,little,little,750,0
38,male,1,own,little,moderate,1308,0
40,male,3,own,moderate,little,4623,0
33,male,2,own,little,little,1851,1
32,male,3,own,little,little,1880,0
27,male,2,rent,little,little,7980,1
32,male,2,own,little,little,4583,1
26,female,2,own,quite rich,rich,1386,0
38,male,2,free,little,rich,947,1
40,male,1,rent,little,little,684,0
50,male,3,free,little,little,7476,1
37,male,1,own,little,moderate,1922,0
45,male,2,own,little,little,2303,1
42,male,3,own,moderate,moderate,8086,1
35,male,2,own,little,little,2346,1
22,male,2,free,little,little,3973,0
41,male,1,own,little,moderate,888,0
37,male,2,own,little,moderate,10222,1
28,female,2,own,little,moderate,4221,1
41,male,2,own,little,moderate,6361,0
23,male,2,rent,little,rich,1297,0
23,male,2,own,little,little,900,0
50,male,2,own,little,moderate,2241,1
35,male,3,own,little,moderate,1050,0
50,female,1,own,little,rich,1047,0
27,male,3,own,little,moderate,6314,1
34,male,2,own,rich,moderate,3496,1
27,female,2,own,little,little,3609,1
43,male,2,rent,little,little,4843,0
47,male,2,own,little,rich,3017,1
27,male,1,own,moderate,moderate,4139,1
31,male,2,own,moderate,moderate,5742,1
42,male,3,own,little,moderate,10366,1
24,male,2,own,quite rich,moderate,2080,0
41,male,1,own,quite rich,moderate,2580,1
26,female,3,rent,little,moderate,4530,1
33,male,2,own,little,moderate,5150,1
24,male,2,own,moderate,moderate,5595,1
64,male,1,rent,little,little,2384,1
26,female,2,own,little,moderate,1453,0
56,female,2,own,little,moderate,1538,0
37,male,2,free,little,moderate,2279,0
33,male,2,own,little,moderate,1478,0
47,male,2,free,little,moderate,5103,1
31,male,1,own,moderate,moderate,9857,1
34,male,2,free,moderate,rich,6527,1
27,male,2,own,moderate,rich,1347,0
30,male,2,free,moderate,moderate,2862,1
35,male,2,own,moderate,little,2753,0
31,male,2,own,rich,little,3651,0
25,male,2,own,little,little,975,0
25,female,1,own,moderate,moderate,2631,0
29,male,2,own,moderate,moderate,2896,1
44,male,1,own,little,little,4716,0
28,male,2,own,little,moderate,2284,1
50,male,2,rent,quite rich,moderate,1236,0
29,male,2,own,little,moderate,1103,0
38,female,0,own,little,rich,926,0
24,male,2,own,little,rich,1800,0
40,male,3,rent,little,rich,1905,0
29,female,1,rent,quite rich,little,1123,0
46,male,2,free,little,little,6331,1
47,female,2,free,moderate,rich,1377,1
41,male,2,own,moderate,moderate,2503,1
32,female,2,own,little,moderate,2528,1
35,female,2,free,quite rich,moderate,5324,0
24,male,2,own,moderate,moderate,6560,1
25,female,2,rent,little,moderate,2969,0
25,female,2,own,little,moderate,1206,0
37,male,1,own,little,moderate,2118,0
32,male,3,own,quite rich,little,629,0
35,female,2,free,little,little,1198,0
46,male,3,own,little,little,2476,1
25,male,1,own,little,little,1138,0
27,male,3,own,little,moderate,14027,1
63,male,2,own,little,rich,7596,1
40,male,2,own,little,rich,3077,1
32,male,3,free,little,rich,1505,0
31,male,2,own,moderate,rich,3148,1
31,male,2,own,moderate,moderate,6148,0
34,male,3,own,little,rich,1337,0
24,female,2,rent,rich,moderate,433,0
24,female,1,own,little,little,1228,0
66,female,1,own,quite rich,moderate,790,0
21,female,2,rent,little,little,2570,1
41,female,1,own,rich,little,250,0
47,male,1,own,quite rich,little,1316,0
25,female,2,rent,little,little,1882,0
59,female,2,rent,little,moderate,6416,1
36,male,2,own,rich,rich,1275,1
33,male,2,own,little,moderate,6403,1
21,male,1,rent,little,little,1987,1
44,female,1,own,little,moderate,760,0
28,female,2,rent,rich,moderate,2603,1
37,female,2,own,little,moderate,3380,0
29,female,0,own,little,moderate,3990,1
23,female,3,rent,little,moderate,11560,1
35,male,1,own,moderate,little,4380,0
45,male,3,own,little,moderate,6761,0
26,female,1,rent,moderate,moderate,4280,1
32,male,2,own,moderate,little,2325,1
23,male,1,own,little,moderate,1048,0
41,male,2,own,quite rich,little,3160,1
22,male,2,own,quite rich,little,2483,1
30,male,3,own,little,little,14179,1
28,male,1,own,little,little,1797,0
23,female,2,rent,little,little,2511,0
37,female,1,own,little,little,1274,0
26,male,2,own,little,little,5248,1
33,male,2,own,little,little,3029,0
49,female,2,own,little,little,428,0
23,female,1,own,little,little,976,0
23,female,1,rent,moderate,moderate,841,0
25,female,2,own,little,little,5771,1
55,male,2,free,rich,little,1555,0
32,female,2,rent,little,little,1285,1
74,male,0,own,little,rich,1299,0
39,male,2,free,little,rich,1271,0
31,male,2,own,little,little,1393,1
35,male,2,own,little,little,691,0
59,female,2,own,little,little,5045,0
24,female,2,rent,little,little,2124,0
24,male,1,own,little,little,2214,0
30,male,3,free,moderate,moderate,12680,1
27,male,2,own,moderate,moderate,2463,1
40,male,1,own,little,moderate,1155,0
31,male,1,own,little,little,3108,1
31,female,2,rent,little,moderate,2901,0
28,male,2,rent,little,moderate,3617,0
63,male,1,own,little,little,1655,0
26,female,2,rent,little,little,2812,1
25,female,3,own,little,little,8065,1
36,male,3,own,little,rich,3275,1
52,male,2,own,moderate,rich,2223,1
66,male,0,free,quite rich,rich,1480,0
25,female,2,rent,little,little,1371,1
37,male,2,own,little,little,3535,1
25,female,2,own,little,little,3509,0
38,male,3,own,rich,moderate,5711,1
67,female,2,own,little,moderate,3872,0
25,male,2,own,little,moderate,4933,1
60,male,2,own,rich,moderate,1940,1
31,male,1,own,little,moderate,1410,0
23,female,1,own,moderate,moderate,836,0
60,male,3,own,rich,moderate,6468,0
35,male,1,own,rich,moderate,1941,0
40,male,2,own,quite rich,moderate,2675,1
38,male,2,own,little,moderate,2751,1
50,male,2,free,little,moderate,6224,1
27,male,2,own,little,little,5998,1
39,female,2,own,little,moderate,1188,1
41,male,3,own,little,rich,6313,1
27,male,2,own,little,rich,1221,0
51,male,2,free,little,rich,2892,1
32,male,2,rent,quite rich,little,3062,1
22,female,2,rent,moderate,little,2301,0
51,male,2,free,little,little,7511,0
22,female,1,rent,little,moderate,1258,0
54,male,2,own,little,moderate,717,1
35,male,0,own,little,moderate,1549,0
54,male,2,free,little,moderate,1597,1
48,female,1,rent,little,moderate,1795,0
24,female,2,own,little,little,4272,0
35,male,2,own,little,moderate,976,0
24,female,0,rent,little,moderate,7472,0
24,male,2,own,little,little,9271,1
26,male,1,own,little,moderate,590,0
65,male,2,own,little,moderate,930,0
55,male,3,free,little,moderate,9283,1
26,female,0,rent,little,moderate,1778,0
26,male,2,own,little,moderate,907,0
28,male,1,own,little,moderate,484,0
24,male,2,own,little,little,9629,1
54,male,2,own,little,little,3051,1
46,male,2,free,little,little,3931,1
54,female,2,rent,little,moderate,7432,1
62,male,2,own,quite rich,little,1338,0
24,female,2,rent,little,little,1554,0
43,male,3,own,little,little,15857,1
26,male,2,own,little,little,1345,0
27,male,2,own,little,rich,1101,0
24,male,2,own,little,rich,3016,0
41,male,2,own,little,little,2712,1
47,male,1,own,little,little,731,0
35,male,3,own,little,little,3780,0
30,male,2,own,little,little,1602,1
33,female,2,rent,little,little,3966,0
36,male,2,own,little,little,4165,0
47,male,2,free,quite rich,little,8335,1
38,male,2,free,quite rich,moderate,6681,1
44,male,2,own,quite rich,little,2375,1
23,female,2,rent,little,little,1216,0
29,male,2,rent,little,little,11816,1
42,female,2,own,little,moderate,5084,1
25,female,1,own,little,rich,2327,0
48,male,2,own,little,little,1082,0
21,female,2,own,little,little,886,0
23,female,1,rent,little,little,601,0
63,male,2,own,little,little,2957,1
46,male,2,own,little,little,2611,1
29,male,2,own,little,little,5179,1
28,male,1,own,little,moderate,2993,1
23,female,2,own,little,moderate,1943,0
50,male,2,own,little,moderate,1559,1
47,male,2,own,little,moderate,3422,0
35,male,2,own,little,moderate,3976,1
68,male,2,rent,little,little,6761,0
28,male,2,own,little,little,1249,1
59,male,2,own,little,little,1364,0
57,male,1,own,little,little,709,0
33,male,2,rent,little,little,2235,0
43,male,2,own,little,little,4042,1
35,male,2,free,little,little,1471,0
32,male,1,free,little,little,1442,0
45,male,2,own,little,little,10875,1
33,male,2,own,moderate,little,1474,1
40,female,2,own,little,little,894,0
28,male,2,free,little,little,3343,0
29,female,2,own,little,little,3959,0
26,male,2,rent,moderate,little,3577,0
27,male,2,own,rich,little,5804,1
28,male,2,own,little,little,2169,0
35,female,2,own,little,little,2439,1
32,male,1,own,rich,little,4526,1
25,male,1,rent,little,little,2210,0
20,female,2,rent,quite rich,little,2221,0
27,female,2,own,little,little,2389,0
42,male,2,own,little,little,3331,0
37,male,2,own,little,little,7409,1
24,female,2,rent,little,little,652,0
40,female,2,own,quite rich,rich,7678,1
46,male,2,own,little,rich,1343,0
26,male,2,own,moderate,little,1382,1
24,female,2,own,little,little,874,0
29,male,1,own,little,little,3590,0
40,female,2,own,rich,moderate,1322,0
36,male,3,free,little,little,1940,0
28,male,2,own,little,little,3595,1
27,male,3,free,little,little,1422,0
36,male,2,own,little,moderate,6742,1
38,male,3,own,little,moderate,7814,1
48,male,2,free,little,moderate,9277,1
36,male,2,own,little,moderate,2181,1
65,female,0,own,little,moderate,1098,0
43,male,2,own,little,moderate,4057,1
53,female,2,own,little,little,795,0
34,male,2,own,little,moderate,2825,1
23,male,2,own,little,moderate,15672,1
34,male,3,own,little,little,6614,1
40,male,2,rent,little,little,7824,1
43,male,3,own,little,little,2442,1
46,male,2,own,little,little,1829,0
38,male,1,own,little,little,2171,0
34,male,2,own,little,moderate,5800,1
29,male,2,own,little,little,1169,0
31,male,3,own,little,little,8947,1
28,female,3,rent,little,little,2606,1
35,female,2,own,rich,little,1592,0
33,female,1,rent,little,little,2186,0
42,male,2,own,little,little,4153,0
43,male,2,rent,little,little,2625,0
44,male,2,own,little,little,3485,0
42,male,2,free,little,little,10477,1
40,male,2,rent,little,little,1386,0
36,male,3,own,little,little,1278,1
20,male,3,rent,little,little,1107,0
24,male,1,own,little,little,3763,1
27,male,2,own,little,moderate,3711,1
46,female,1,own,little,moderate,3594,0
33,female,1,own,little,moderate,3195,0
34,female,2,own,little,moderate,4454,1
25,female,1,own,little,moderate,4736,1
25,female,2,own,rich,moderate,2991,1
28,male,2,own,rich,little,2142,0
31,male,2,rent,little,little,3161,1
32,female,3,own,little,moderate,18424,1
32,male,2,own,moderate,little,2848,0
68,male,3,own,little,little,14896,0
33,male,2,own,moderate,little,2359,1
39,male,3,rent,little,little,3345,1
28,female,2,own,little,little,1817,0
37,male,3,own,quite rich,little,12749,1
22,female,2,rent,little,little,1366,0
30,male,2,rent,little,moderate,2002,0
55,male,2,own,little,little,6872,1
46,male,2,own,little,little,697,0
21,female,2,rent,little,little,1049,0
39,male,2,free,little,little,10297,1
58,male,2,own,little,little,1867,1
43,male,1,own,little,little,1344,0
24,male,1,own,little,little,1747,1
22,female,2,own,little,moderate,1670,0
30,male,2,own,little,little,1224,0
42,male,2,own,quite rich,little,522,0
23,female,2,own,little,little,1498,0
30,male,3,own,moderate,moderate,1919,1
28,female,1,own,little,rich,745,0
30,male,3,rent,little,moderate,2063,0
42,male,2,free,little,moderate,6288,1
46,male,3,own,little,little,6842,1
45,male,3,own,little,little,3527,0
31,male,1,own,little,little,1546,0
31,male,2,own,little,little,929,1
42,male,1,own,little,little,1455,0
46,female,2,rent,little,little,1845,0
30,female,2,own,quite rich,moderate,8358,1
30,male,2,free,quite rich,little,3349,1
38,male,3,own,little,moderate,2859,0
43,male,1,own,little,moderate,1533,0
31,male,2,own,moderate,moderate,3621,1
40,male,0,own,little,moderate,3590,0
24,male,2,own,little,little,2145,1
28,female,2,rent,quite rich,moderate,4113,1
26,female,3,own,little,little,10974,1
29,female,2,own,little,little,1893,0
57,female,3,rent,rich,little,1231,1
49,male,1,own,little,rich,3656,1
37,male,1,own,little,moderate,1154,0
45,male,1,own,little,little,4006,1
30,male,2,free,moderate,moderate,3069,1
30,male,2,rent,little,moderate,1740,0
47,male,2,own,little,moderate,2353,1
29,male,2,own,quite rich,moderate,3556,0
35,male,2,own,quite rich,moderate,2397,1
22,male,1,own,little,moderate,454,0
26,female,2,own,quite rich,moderate,1715,1
23,male,1,own,quite rich,moderate,2520,1
54,female,3,rent,little,little,3568,0
29,male,2,rent,little,little,7166,1
40,male,1,own,little,little,3939,0
22,male,2,own,moderate,moderate,1514,0
43,male,1,own,little,little,7393,1
29,female,0,rent,little,little,1193,1
36,male,2,rent,little,little,7297,1
33,female,2,own,little,rich,2831,1
57,female,1,own,quite rich,rich,1258,1
64,female,2,own,little,moderate,753,0
42,male,2,own,little,moderate,2427,0
47,male,1,own,little,moderate,2538,1
25,male,2,rent,moderate,moderate,1264,0
49,male,2,own,little,moderate,8386,1
33,male,3,rent,little,rich,4844,1
28,female,3,own,moderate,rich,2923,1
26,male,2,own,little,little,8229,1
30,male,1,own,little,little,2028,1
25,female,2,rent,little,little,1433,0
33,male,2,own,little,rich,6289,1
64,female,2,own,moderate,little,1409,0
29,male,3,free,little,little,6579,1
48,male,1,own,little,moderate,1743,1
37,male,1,own,moderate,little,3565,0
34,male,1,own,moderate,little,1569,0
23,male,1,rent,little,little,1936,0
30,male,3,own,little,little,3959,1
50,male,2,own,little,little,2390,0
31,female,1,own,little,little,1736,0
40,male,3,own,little,little,3857,1
38,male,2,own,little,little,804,0
23,male,2,free,little,little,1845,1
27,male,2,own,moderate,moderate,4576,1
