Age,Annual Income (k$),Spending Score (1-100),Gender_Male
19,15,39,1
21,15,81,1
20,16,6,0
23,16,77,0
31,17,40,0
22,17,76,0
35,18,6,0
23,18,94,0
64,19,3,1
30,19,72,0
67,19,14,1
35,19,99,0
58,20,15,0
24,20,77,0
37,20,13,1
22,20,79,1
35,21,35,0
20,21,66,1
52,23,29,1
35,23,98,0
35,24,35,1
25,24,73,1
46,25,5,0
31,25,73,1
54,28,14,0
29,28,82,1
45,28,32,0
35,28,61,1
40,29,31,0
23,29,87,0
60,30,4,1
21,30,73,0
53,33,4,1
18,33,92,1
49,33,14,0
21,33,81,0
42,34,17,0
30,34,73,0
36,37,26,0
20,37,75,0
65,38,35,0
24,38,92,1
48,39,36,1
31,39,61,0
49,39,28,0
24,39,65,0
50,40,55,0
27,40,47,0
29,40,42,0
31,40,42,0
49,42,52,0
33,42,60,1
31,43,54,0
59,43,60,1
50,43,45,0
47,43,41,1
51,44,50,0
69,44,46,1
27,46,51,0
53,46,46,1
70,46,56,1
19,46,55,1
67,47,52,0
54,47,59,0
63,48,51,1
18,48,59,1
43,48,50,0
68,48,48,0
19,48,59,1
32,48,47,0
70,49,55,1
47,49,42,0
60,50,49,0
60,50,56,0
59,54,47,1
26,54,54,1
45,54,53,0
40,54,48,1
23,54,52,0
49,54,42,0
57,54,51,1
38,54,55,1
67,54,41,1
46,54,44,0
21,54,57,0
48,54,46,1
55,57,58,0
22,57,55,0
34,58,60,0
50,58,46,0
68,59,55,0
18,59,41,1
48,60,49,1
40,60,40,0
32,60,42,0
24,60,52,1
47,60,47,0
27,60,50,0
48,61,42,1
20,61,49,1
23,62,41,0
49,62,48,0
67,62,59,1
26,62,55,1
49,62,56,1
21,62,42,0
66,63,50,0
54,63,46,1
68,63,43,1
66,63,48,1
65,63,52,1
19,63,54,0
38,64,42,0
19,64,46,1
18,65,48,0
19,65,50,0
63,65,43,0
49,65,59,0
51,67,43,0
50,67,57,0
27,67,56,1
38,67,40,0
40,69,58,0
39,69,91,1
23,70,29,0
31,70,77,0
43,71,35,1
40,71,95,1
59,71,11,1
38,71,75,1
47,71,9,1
39,71,75,1
25,72,34,0
31,72,71,0
20,73,5,1
29,73,88,0
44,73,7,0
32,73,73,1
19,74,10,1
35,74,72,0
57,75,5,0
32,75,93,1
28,76,40,0
32,76,87,0
25,77,12,1
28,77,97,1
48,77,36,1
32,77,74,0
34,78,22,0
34,78,90,1
43,78,17,1
39,78,88,1
44,78,20,0
38,78,76,0
47,78,16,0
27,78,89,0
37,78,1,1
30,78,78,0
34,78,1,1
30,78,73,0
56,79,35,0
29,79,83,0
19,81,5,1
31,81,93,0
50,85,26,1
36,85,75,0
42,86,20,1
33,86,95,0
36,87,27,0
32,87,63,1
40,87,13,1
28,87,75,1
36,87,10,1
36,87,92,1
52,88,13,0
30,88,86,0
58,88,15,1
27,88,69,1
59,93,14,1
35,93,90,1
37,97,32,0
32,97,86,0
46,98,15,1
29,98,88,0
41,99,39,0
30,99,97,1
54,101,24,0
28,101,68,1
41,103,17,0
36,103,85,0
34,103,23,0
32,103,69,0
33,113,8,1
38,113,91,0
47,120,16,0
35,120,79,0
45,126,28,0
32,126,74,1
32,137,18,1
30,137,83,1
